"File","Top","GuestOnly"
"adarsh_native_app/index.js","adarsh_native_app","False"
"adarsh_native_app/mobile_stability_manifesto.md","adarsh_native_app","False"
"adarsh_native_app/package.json","adarsh_native_app","False"
"adarsh_native_app/react-native.config.js","adarsh_native_app","False"
"adarsh_native_app/src/api/client.js","adarsh_native_app","False"
"adarsh_native_app/src/components/AppModal.js","adarsh_native_app","False"
"adarsh_native_app/src/components/Button.js","adarsh_native_app","False"
"adarsh_native_app/src/components/Card.js","adarsh_native_app","False"
"adarsh_native_app/src/components/CardItem.js","adarsh_native_app","False"
"adarsh_native_app/src/components/CardModalForm.js","adarsh_native_app","False"
"adarsh_native_app/src/components/ConfirmModal.js","adarsh_native_app","False"
"adarsh_native_app/src/components/ErrorBoundary.js","adarsh_native_app","False"
"adarsh_native_app/src/components/FilterDrawer.js","adarsh_native_app","False"
"adarsh_native_app/src/components/FormField.js","adarsh_native_app","False"
"adarsh_native_app/src/components/Icons.js","adarsh_native_app","False"
"adarsh_native_app/src/components/Input.js","adarsh_native_app","False"
"adarsh_native_app/src/components/ListItem.js","adarsh_native_app","False"
"adarsh_native_app/src/components/Loader.js","adarsh_native_app","False"
"adarsh_native_app/src/components/NetworkGuard.js","adarsh_native_app","False"
"adarsh_native_app/src/components/ScreenWrapper.js","adarsh_native_app","False"
"adarsh_native_app/src/components/Skeleton.js","adarsh_native_app","False"
"adarsh_native_app/src/components/Stack.js","adarsh_native_app","False"
"adarsh_native_app/src/components/StatusBadge.js","adarsh_native_app","False"
"adarsh_native_app/src/components/Toast.js","adarsh_native_app","False"
"adarsh_native_app/src/components/TopBar.js","adarsh_native_app","False"
"adarsh_native_app/src/components/Typography.js","adarsh_native_app","False"
"adarsh_native_app/src/context/AuthContext.js","adarsh_native_app","False"
"adarsh_native_app/src/context/ToastContext.js","adarsh_native_app","False"
"adarsh_native_app/src/hooks/useRefreshableResource.js","adarsh_native_app","False"
"adarsh_native_app/src/navigation/AppNavigator.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/CameraScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/CardDetailScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/CardFormScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/CardListScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/ClientGroupsScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/ClientsListScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/DesktopRequiredScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/ForgotPasswordScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/GroupsScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/HomeScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/LandingScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/LoginScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/NoAccessScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/NotificationsScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/PermissionsScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/ProfileScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/ReprintDetailScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/ReprintScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/SearchScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/StaffManageScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/TablePickerScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/screens/WelcomeScreen.js","adarsh_native_app","False"
"adarsh_native_app/src/theme/index.js","adarsh_native_app","False"
"adarsh_native_app/src/utils/data.js","adarsh_native_app","False"
"adarsh_native_app/upload_certificate.pem","adarsh_native_app","False"
"build_bundles.py","build_bundles.py","False"
"cardprint/admin.py","cardprint","False"
"cardprint/apps.py","cardprint","False"
"cardprint/migrations/0001_initial.py","cardprint","False"
"cardprint/migrations/0002_add_finalized_pool_status.py","cardprint","False"
"cardprint/migrations/0003_remove_downloaded_status.py","cardprint","False"
"cardprint/migrations/0004_generate_list_cardtemplate.py","cardprint","False"
"cardprint/migrations/0005_add_field_config_to_cardtemplate.py","cardprint","False"
"cardprint/migrations/0006_remove_print_list_status.py","cardprint","False"
"cardprint/migrations/0007_add_docx_fields_to_cardtemplate.py","cardprint","False"
"cardprint/migrations/0008_remove_docx_fields_from_cardtemplate.py","cardprint","False"
"cardprint/migrations/0009_cardtemplatedoc.py","cardprint","False"
"cardprint/migrations/0010_template_json_workflow.py","cardprint","False"
"cardprint/migrations/0012_alter_cardtemplate_template_json.py","cardprint","False"
"cardprint/migrations/0013_cardtemplate_production_fields.py","cardprint","False"
"cardprint/migrations/0014_remove_cardtemplatedoc.py","cardprint","False"
"cardprint/models.py","cardprint","False"
"cardprint/services.py","cardprint","False"
"cardprint/tests.py","cardprint","False"
"cardprint/urls.py","cardprint","False"
"cardprint/views.py","cardprint","False"
"client/models.py","client","False"
"client/services_access.py","client","False"
"client/services_card.py","client","False"
"client/services_client_core.py","client","False"
"client/services_dashboard.py","client","False"
"client/services_staff.py","client","False"
"client/tests.py","client","False"
"client/urls.py","client","False"
"client/views.py","client","False"
"client/views_api.py","client","False"
"client/views_pages.py","client","False"
"client/views_shared_pages.py","client","False"
"config/settings.py","config","False"
"config/urls.py","config","False"
"config/urls_panel.py","config","False"
"config/urls_website.py","config","False"
"conftest.py","conftest.py","False"
"core/admin.py","core","False"
"core/apps.py","core","False"
"core/context_processors.py","core","False"
"core/management/commands/cleanup_apostrophes.py","core","False"
"core/management/commands/ensure_missing_card_thumbnails.py","core","False"
"core/middleware.py","core","False"
"core/migrations/0070_move_officework_models_to_app.py","core","False"
"core/migrations/0074_alter_user_role_guestassignment.py","core","False"
"core/migrations/0074_remove_print_finalized_perms.py","core","False"
"core/migrations/0076_remove_staff_manage_website_section_perms.py","core","False"
"core/migrations/0077_merge_20260511_1532.py","core","False"
"core/migrations/0078_staff_pro_features.py","core","False"
"core/migrations/0079_delete_websitesettings_and_more.py","core","False"
"core/models.py","core","False"
"core/realtime/consumers.py","core","False"
"core/services/activity_service.py","core","False"
"core/services/crop_service.py","core","False"
"core/services/guest_sandbox_service.py","core","False"
"core/services/idcard_bulk_service.py","core","False"
"core/services/idcard_card_service.py","core","False"
"core/services/permission_service.py","core","False"
"core/services/reupload_processor.py","core","False"
"core/signals.py","core","False"
"core/tests.py","core","False"
"core/tests_pro_user_manage.py","core","False"
"core/urls.py","core","False"
"core/utils/email_utils.py","core","False"
"core/views/__init__.py","core","False"
"core/views/admin_page_views.py","core","False"
"core/views/base.py","core","False"
"core/views/base_helpers.py","core","False"
"core/views/client_api.py","core","False"
"core/views/crop_api.py","core","False"
"core/views/cropper_api.py","core","False"
"core/views/dashboard_views.py","core","False"
"core/views/engine_api.py","core","False"
"core/views/errors.py","core","False"
"core/views/idcard_bulk_api.py","core","False"
"core/views/idcard_card_api.py","core","False"
"core/views/idcard_helpers.py","core","False"
"core/views/idcard_table_api.py","core","False"
"core/views/maintenance_api.py","core","False"
"core/views/pro_user_data_guard_api.py","core","False"
"core/views/pro_user_guest_users_api.py","core","False"
"core/views/pro_user_manage_superadmin_views.py","core","False"
"core/views/pro_user_session_api.py","core","False"
"core/views/staff_api.py","core","False"
"core/views/task_api.py","core","False"
"exports/pdf.py","exports","False"
"exports/tests.py","exports","False"
"exports/word_images.py","exports","False"
"exports/word_styles.py","exports","False"
"exports/word_tables.py","exports","False"
"generate_urls.py","generate_urls.py","False"
"idcards/models.py","idcards","False"
"idcards/services_workflow.py","idcards","False"
"mediafiles/services/image_fields.py","mediafiles","False"
"mobile_api/admin.py","mobile_api","False"
"mobile_api/models.py","mobile_api","False"
"mobile_api/tests.py","mobile_api","False"
"mobile_api/urls.py","mobile_api","False"
"mobile_api/views.py","mobile_api","False"
"mobile_app/context_processors.py","mobile_app","False"
"mobile_app/tests.py","mobile_app","False"
"mobile_app/urls.py","mobile_app","False"
"mobile_app/views.py","mobile_app","False"
"mobile_shell_app/.env.example","mobile_shell_app","False"
"mobile_shell_app/.gitignore","mobile_shell_app","False"
"mobile_shell_app/ANDROID_NATIVE_CONVERSION_PLAN.md","mobile_shell_app","False"
"mobile_shell_app/README.md","mobile_shell_app","False"
"mobile_shell_app/android/.gitignore","mobile_shell_app","False"
"mobile_shell_app/android/app/.gitignore","mobile_shell_app","False"
"mobile_shell_app/android/app/build.gradle","mobile_shell_app","False"
"mobile_shell_app/android/app/capacitor.build.gradle","mobile_shell_app","False"
"mobile_shell_app/android/app/proguard-rules.pro","mobile_shell_app","False"
"mobile_shell_app/android/app/src/androidTest/java/com/getcapacitor/myapp/ExampleInstrumentedTest.java","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/AndroidManifest.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/java/in/adarshbhopal/panel1804/MainActivity.java","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/anim/mobile_close_enter.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/anim/mobile_close_exit.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/anim/mobile_open_enter.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/anim/mobile_open_exit.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/drawable-v24/ic_launcher_foreground.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/drawable/ic_launcher_background.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/layout/activity_main.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher_round.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/values/colors.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/values/ic_launcher_background.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/values/strings.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/values/styles.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/xml/file_paths.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/main/res/xml/network_security_config.xml","mobile_shell_app","False"
"mobile_shell_app/android/app/src/test/java/com/getcapacitor/myapp/ExampleUnitTest.java","mobile_shell_app","False"
"mobile_shell_app/android/build.gradle","mobile_shell_app","False"
"mobile_shell_app/android/capacitor.settings.gradle","mobile_shell_app","False"
"mobile_shell_app/android/gradle.properties","mobile_shell_app","False"
"mobile_shell_app/android/gradle/wrapper/gradle-wrapper.properties","mobile_shell_app","False"
"mobile_shell_app/android/gradlew","mobile_shell_app","False"
"mobile_shell_app/android/gradlew.bat","mobile_shell_app","False"
"mobile_shell_app/android/settings.gradle","mobile_shell_app","False"
"mobile_shell_app/android/variables.gradle","mobile_shell_app","False"
"mobile_shell_app/capacitor.config.ts","mobile_shell_app","False"
"mobile_shell_app/ios/.gitignore","mobile_shell_app","False"
"mobile_shell_app/ios/App/App.xcodeproj/project.pbxproj","mobile_shell_app","False"
"mobile_shell_app/ios/App/App.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist","mobile_shell_app","False"
"mobile_shell_app/ios/App/App/AppDelegate.swift","mobile_shell_app","False"
"mobile_shell_app/ios/App/App/Assets.xcassets/AppIcon.appiconset/Contents.json","mobile_shell_app","False"
"mobile_shell_app/ios/App/App/Assets.xcassets/Contents.json","mobile_shell_app","False"
"mobile_shell_app/ios/App/App/Assets.xcassets/Splash.imageset/Contents.json","mobile_shell_app","False"
"mobile_shell_app/ios/App/App/Base.lproj/LaunchScreen.storyboard","mobile_shell_app","False"
"mobile_shell_app/ios/App/App/Base.lproj/Main.storyboard","mobile_shell_app","False"
"mobile_shell_app/ios/App/App/Info.plist","mobile_shell_app","False"
"mobile_shell_app/ios/App/Podfile","mobile_shell_app","False"
"mobile_shell_app/package.json","mobile_shell_app","False"
"mobile_shell_app/phase0/PHASE0_EXECUTION_LOG.md","mobile_shell_app","False"
"mobile_shell_app/phase0/mobile_assets_baseline.json","mobile_shell_app","False"
"mobile_shell_app/phase0/mobile_routes_manifest.json","mobile_shell_app","False"
"mobile_shell_app/phase0/mobile_screenshot_checklist.md","mobile_shell_app","False"
"mobile_shell_app/phase1/PHASE1_COMPLETION_REPORT.md","mobile_shell_app","False"
"mobile_shell_app/phase1/critical_template_hashes.json","mobile_shell_app","False"
"mobile_shell_app/phase1/route_smoke_matrix.json","mobile_shell_app","False"
"mobile_shell_app/phase2/PHASE2_COMPLETION_REPORT.md","mobile_shell_app","False"
"mobile_shell_app/phase2/PHASE2_EXECUTION_LOG.md","mobile_shell_app","False"
"mobile_shell_app/phase2/lifecycle_contract.md","mobile_shell_app","False"
"mobile_shell_app/phase3/PHASE3_COMPLETION_REPORT.md","mobile_shell_app","False"
"mobile_shell_app/phase3/PHASE3_EXECUTION_LOG.md","mobile_shell_app","False"
"mobile_shell_app/phase3/environment_gate_contract.md","mobile_shell_app","False"
"mobile_shell_app/phase4/PHASE4_COMPLETION_REPORT.md","mobile_shell_app","False"
"mobile_shell_app/phase4/PHASE4_EXECUTION_LOG.md","mobile_shell_app","False"
"mobile_shell_app/phase4/device_bridge_contract.md","mobile_shell_app","False"
"mobile_shell_app/phase5/PHASE5_COMPLETION_REPORT.md","mobile_shell_app","False"
"mobile_shell_app/phase5/PHASE5_EXECUTION_LOG.md","mobile_shell_app","False"
"mobile_shell_app/phase5/deterministic_cache_update_flow.md","mobile_shell_app","False"
"mobile_shell_app/phase5/offline_behavior_matrix.json","mobile_shell_app","False"
"mobile_shell_app/phase6/PHASE6_COMPLETION_REPORT.md","mobile_shell_app","False"
"mobile_shell_app/phase6/PHASE6_EXECUTION_LOG.md","mobile_shell_app","False"
"mobile_shell_app/phase6/release_pipeline_contract.md","mobile_shell_app","False"
"mobile_shell_app/phase6/release_smoke_checklist.md","mobile_shell_app","False"
"mobile_shell_app/phase6/rollout_monitoring_plan.md","mobile_shell_app","False"
"mobile_shell_app/phase7/PHASE7_COMPLETION_REPORT.md","mobile_shell_app","False"
"mobile_shell_app/phase7/PHASE7_EXECUTION_LOG.md","mobile_shell_app","False"
"mobile_shell_app/phase7/incident_response_runbook.md","mobile_shell_app","False"
"mobile_shell_app/phase7/rollout_gate_check_contract.md","mobile_shell_app","False"
"mobile_shell_app/phase8/PHASE8_COMPLETION_REPORT.md","mobile_shell_app","False"
"mobile_shell_app/phase8/PHASE8_EXECUTION_LOG.md","mobile_shell_app","False"
"mobile_shell_app/phase8/nice_to_have_backlog.md","mobile_shell_app","False"
"mobile_shell_app/phase8/release_preflight_contract.md","mobile_shell_app","False"
"mobile_shell_app/scripts/doctor.mjs","mobile_shell_app","False"
"mobile_shell_app/scripts/prepare.mjs","mobile_shell_app","False"
"mobile_shell_app/tsconfig.json","mobile_shell_app","False"
"mobile_shell_app/www/index.html","mobile_shell_app","False"
"mobile_shell_app/www/offline.html","mobile_shell_app","False"
"mobile_shell_app/www/shell.css","mobile_shell_app","False"
"mobile_shell_app/www/shell.js","mobile_shell_app","False"
"officework/admin.py","officework","False"
"officework/apps.py","officework","False"
"officework/migrations/0001_initial.py","officework","False"
"officework/migrations/0002_officeworkchatgroupmember_and_more.py","officework","False"
"officework/migrations/0003_officeworktask_add_pending_status.py","officework","False"
"officework/migrations/0004_officeworktask_checklist_items_and_more.py","officework","False"
"officework/migrations/0005_officeworklead_delete_officeworksharedfile.py","officework","False"
"officework/migrations/0006_officeworkleadtemplate.py","officework","False"
"officework/models.py","officework","False"
"officework/services_chat.py","officework","False"
"officework/static/officework/css/office-work.css","officework","False"
"officework/static/officework/js/leads.js","officework","False"
"officework/static/officework/js/office-work.js","officework","False"
"officework/static/officework/js/tasks.js","officework","False"
"officework/templates/officework/modals/lead-body.html","officework","False"
"officework/templates/officework/modals/search-clients-body.html","officework","False"
"officework/templates/officework/modals/template-body.html","officework","False"
"officework/templates/officework/modals/xlsx-body.html","officework","False"
"officework/templates/officework/office-work.html","officework","False"
"officework/templates/officework/partials/upload-options.html","officework","False"
"officework/tests.py","officework","False"
"officework/upload_security.py","officework","False"
"officework/urls.py","officework","False"
"officework/views.py","officework","False"
"officework/views_chat.py","officework","False"
"officework/views_common.py","officework","False"
"officework/views_leads.py","officework","False"
"officework/views_tasks.py","officework","False"
"package.json","package.json","False"
"panel/tests.py","panel","False"
"panel/views/engine_panel_views.py","panel","False"
"panel/views/monitoring_views.py","panel","False"
"release_pipeline_contract.md","release_pipeline_contract.md","False"
"release_preflight_contract.md","release_preflight_contract.md","False"
"reprintcard/tests.py","reprintcard","False"
"reprintcard/views.py","reprintcard","False"
"requirements.txt","requirements.txt","False"
"rollout_gate_check_contract.md","rollout_gate_check_contract.md","False"
"scratch/diagnostic_scoping.py","scratch","False"
"scratch/diagnostic_scoping_shell.py","scratch","False"
"scratch/find_dupes.py","scratch","False"
"scratch/find_js_dupes.py","scratch","False"
"scratch/verify_mobile_keys.py","scratch","False"
"scratch/verify_scoping_fix.py","scratch","False"
"scratch/verify_scoping_standalone.py","scratch","False"
"scripts/officework_browser_smoke.py","scripts","False"
"scripts/officework_multiuser_realtime_smoke.py","scripts","False"
"scripts/report_user_permissions.py","scripts","False"
"staff/models.py","staff","False"
"staff/services_staff_core.py","staff","False"
"staff/views.py","staff","False"
"static/css/adarsh-cropper-modals.css","static","False"
"static/css/adarsh-cropper-preview.css","static","False"
"static/css/adarsh-cropper.css","static","False"
"static/css/adarsh-engine-panel.css","static","False"
"static/css/adarshengine.css","static","False"
"static/css/cardprint/generate-card.css","static","False"
"static/css/dashboard-layout.css","static","False"
"static/css/idcard-action-bar.css","static","False"
"static/css/idcard-actions-enhanced.css","static","False"
"static/css/idcard-table.css","static","False"
"static/css/tailwind.css","static","False"
"static/css/wa-components.css","static","False"
"static/css/wa-forms.css","static","False"
"static/css/wa-layout.css","static","False"
"static/css/wa-modals.css","static","False"
"static/css/wa-table.css","static","False"
"static/css/website-admin.css","static","False"
"static/dist/css/cropper.min.css","static","False"
"static/dist/css/idcard-actions.min.css","static","False"
"static/dist/css/wa.min.css","static","False"
"static/dist/js/cardprint-shared.min.js","static","False"
"static/dist/js/core.min.js","static","False"
"static/dist/js/cropper.min.js","static","False"
"static/dist/js/dashboard.min.js","static","False"
"static/dist/js/group-setting.min.js","static","False"
"static/dist/js/idcard-actions.min.js","static","False"
"static/dist/js/manage-client.min.js","static","False"
"static/dist/js/manage-staff.min.js","static","False"
"static/js/adarsh-cropper-autoadjust.js","static","False"
"static/js/adarsh-cropper-donut.js","static","False"
"static/js/adarsh-cropper-utils.js","static","False"
"static/js/adarsh-cropper.js","static","False"
"static/js/adarsh-engine-integration.js","static","False"
"static/js/adarsh-engine-panel.js","static","False"
"static/js/adarshengine-adjust.js","static","False"
"static/js/adarshengine-histogram.js","static","False"
"static/js/adarshengine-nav.js","static","False"
"static/js/adarshengine-presets.js","static","False"
"static/js/adarshengine.js","static","False"
"static/js/cardprint/editor/core/eventManager.js","static","False"
"static/js/cardprint/editor/core/keyboardEventBindings.js","static","False"
"static/js/cardprint/editor/core/pointerEventBindings.js","static","False"
"static/js/cardprint/editor/core/renderEngine.js","static","False"
"static/js/cardprint/editor/core/stageEventBindings.js","static","False"
"static/js/cardprint/editor/core/toolManager.js","static","False"
"static/js/cardprint/editor/services/alignService.js","static","False"
"static/js/cardprint/editor/services/clipboardService.js","static","False"
"static/js/cardprint/editor/services/guideService.js","static","False"
"static/js/cardprint/editor/services/historyService.js","static","False"
"static/js/cardprint/editor/services/layerService.js","static","False"
"static/js/cardprint/editor/services/selectionService.js","static","False"
"static/js/cardprint/editor/services/transformService.js","static","False"
"static/js/cardprint/editor/state/editorState.js","static","False"
"static/js/cardprint/editor/tools/photoTool.js","static","False"
"static/js/cardprint/editor/tools/rectangleTool.js","static","False"
"static/js/cardprint/editor/tools/selectTool.js","static","False"
"static/js/cardprint/editor/tools/textTool.js","static","False"
"static/js/cardprint/editor/ui/canvas/CanvasView.js","static","False"
"static/js/cardprint/editor/ui/panels/AlignPanel.js","static","False"
"static/js/cardprint/editor/ui/panels/LayerPanel.js","static","False"
"static/js/cardprint/editor/ui/panels/TextPanel.js","static","False"
"static/js/cardprint/editor/ui/toolbar/LeftToolbar.js","static","False"
"static/js/cardprint/editor/ui/toolbar/TopBar.js","static","False"
"static/js/cardprint/editor/utils/dom.js","static","False"
"static/js/cardprint/editor/utils/helpers.js","static","False"
"static/js/cardprint/editor/utils/math.js","static","False"
"static/js/cardprint/generate-card.js","static","False"
"static/js/cardprint/print-cards.js","static","False"
"static/js/core/api.js","static","False"
"static/js/dashboard-actions.js","static","False"
"static/js/group-setting-events.js","static","False"
"static/js/group-setting-ui.js","static","False"
"static/js/idcard-actions-api-bulk.js","static","False"
"static/js/idcard-actions-api-status.js","static","False"
"static/js/idcard-actions-core-state.js","static","False"
"static/js/idcard-actions-download-init.js","static","False"
"static/js/idcard-actions-download-logic.js","static","False"
"static/js/idcard-actions-download-modals.js","static","False"
"static/js/idcard-actions-modal-delete.js","static","False"
"static/js/idcard-actions-modal-form-ops.js","static","False"
"static/js/idcard-actions-modal-view-render.js","static","False"
"static/js/idcard-actions-reprint.js","static","False"
"static/js/idcard-actions-table-load.js","static","False"
"static/js/idcard-actions-table-render-row.js","static","False"
"static/js/idcard-actions.js","static","False"
"static/js/idcard-group.js","static","False"
"static/js/image-cropper.js","static","False"
"static/js/login.js","static","False"
"static/js/manage-client-handlers.js","static","False"
"static/js/manage-client-staff-admin.js","static","False"
"static/js/manage-client-ui.js","static","False"
"static/js/manage-panel.js","static","False"
"static/js/manage-staff-state.js","static","False"
"static/js/pro-user-guest-users.js","static","False"
"static/js/reprintcard/reprint-cards.js","static","False"
